time,score,pnl,capital,portfolio_value,variance,capitalUsage,maxDrawdown,total_profit,total_loss,count_profit,count_loss
2015-01-02 00:00:00,0.0,0.0,1000,1000.0,0,0,"{'maxPortfolioValue': 0, 'maxDrawdown': 0}",0,0,0,0
2015-01-05 00:00:00,1.0,0.0,1000.0,1000.0,0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-06 00:00:00,1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-07 00:00:00,1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-08 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-09 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-12 00:00:00,1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-13 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-14 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-15 00:00:00,1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-16 00:00:00,1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-19 00:00:00,1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-20 00:00:00,1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-21 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-22 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-23 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-26 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-27 00:00:00,1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-28 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-29 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-30 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-02 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-03 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-04 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-05 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-06 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-09 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-10 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-11 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-12 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-13 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-16 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-17 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-18 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-19 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-20 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-23 00:00:00,-1.0,0.0,883.44927375,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-24 00:00:00,-1.0,-0.7656179999999893,884.17661085,999.234382,0.015852851146945467,116.55072625000003,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0.7656180000000177}",0,0.7656179999999893,0,1
2015-02-25 00:00:00,-1.0417294396728083,-3.8834839999999957,887.13858355,996.116516,0.2716149206424854,116.55072625000003,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 3.883483999999953}",0,3.8834839999999957,0,2
2015-02-26 00:00:00,-1.1956337845396936,-2.3798910000000006,885.7101702,997.620109,0.3231760264692462,116.55072625000003,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 3.883483999999953}",1.503592999999995,3.8834839999999957,1,2
2015-02-27 00:00:00,-1.1319024147893544,-4.187858999999989,887.4277397999999,995.812141,0.3975569474862569,116.55072625000003,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 4.187859000000003}",1.503592999999995,5.691451999999984,1,3
2015-03-02 00:00:00,-1.2248642996521837,-3.606735999999998,886.87567295,996.393264,0.3969169771069477,116.55072625000003,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 4.187859000000003}",2.084715999999986,5.691451999999984,2,3
2015-03-03 00:00:00,-1.1911056714745774,-3.357681999999997,886.63907165,996.642318,0.3896135147094484,116.55072625000003,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 4.187859000000003}",2.333769999999987,5.691451999999984,3,3
2015-03-04 00:00:00,-1.1853374684025713,-4.11408999999999,887.35765925,995.88591,0.3945904938062015,116.55072625000003,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 4.187859000000003}",2.333769999999987,6.447859999999977,3,4
2015-03-05 00:00:00,-1.2547141203014347,-6.0788809999999955,889.2242107,993.921119,0.47451593529146635,116.55072625000003,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 6.078881000000024}",2.333769999999987,8.412650999999983,3,5
2015-03-06 00:00:00,-1.3723196396360418,-5.9036259999999885,1000.0,994.096374,0.4659868011306209,116.55072625000003,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 6.078881000000024}",2.509024999999994,8.412650999999983,4,5
2015-03-09 00:00:00,-1.3508808862823682,-5.9036259999999885,1000.0,994.096374,0.45708656925242597,116.55072625000003,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 6.078881000000024}",2.509024999999994,8.412650999999983,4,5
2015-03-10 00:00:00,-1.409998741590812,-5.9036259999999885,1000.0,994.096374,0.44851608036734475,116.55072625000003,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 6.078881000000024}",2.509024999999994,8.412650999999983,4,5
2015-03-11 00:00:00,-1.4797662194253585,-5.9036259999999885,1000.0,994.096374,0.44025759445484697,116.55072625000003,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 6.078881000000024}",2.509024999999994,8.412650999999983,4,5
2015-03-12 00:00:00,-1.4115802482786461,-5.9036259999999885,1000.0,994.096374,0.43229460001755177,116.55072625000003,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 6.078881000000024}",2.509024999999994,8.412650999999983,4,5
